text,label,channel
"&quot;निर्णायक राष्ट्रिय शक्ति निर्माणको संकल्प : समृद्ध नेपाल र सुखी नेपाली हाम्रो गन्तव्य&quot;<br><br><br>देशलाई अगाडि बढाउने, स्वाभिमान उठाउने र राष्ट्रिय हितलाई सर्वोपरि राख्ने शक्ति आज आवश्यक छ। यही संकल्पसहित नेकपा एमालेले ११ औँ राष्ट्रिय महाधिवेशनमा समृद्ध नेपाल, सुखी नेपाली को मार्गचित्र कोरेको छ—कागजमा होइन, व्यवहारमा।<br><br>तर देश विकासको बाटो हिँडिरहँदा भदौ २३–२४ गते  GenZ नामको नारा लगाएर केही नक्कली GenZ नकावधारि विदेशी दलाल–शरणार्थीहरूले<br>सिंहदरबारदेखि सर्वोच्च अदालत, राष्ट्रपति कार्यालयदेखि सरकारी संरचना र ब्यक्तिगत सम्पत्ति <br>जलाउने, तोडफोड गर्ने,<br>लुटपाटको संस्कृति ल्याउने<br>दुई दिनको नाङ्गो खेल देखाए।<br><br>व्यंग्य त के भन्नु —<br>त्यतिबेला &quot;कानुन–कानुन&quot; भन्ने शुसिला कार्की सरकार आजसम्म पनि ती अपराधीलाई कानुनी दायरामा तान्न नसकेर उनीहरूलाई अझै शिर ठाडो बनाएर हिडाउन व्यस्त छ!<br>यो हो हाम्रो न्यायको विडम्बना।<br><br>यद्यपि नेपाली जनताले यस्ता नाटक धेरै देखें।<br>देश चलाउने जिम्मेवारी लिनेलाई जनताले कामको आधारमा हेरिरहेका छन्—<br>त्यही कारण केपी शर्मा ओली प्रति आज पनि विश्वास उस्तै छ।<br>किनकि उनका काम बोल्छन्—<br><br>• कोरोना महामारीमै निजामतीदेखि स्वास्थ्य संरचना विस्तार<br>• प्रत्येक स्थानीय तहमा अस्पताल, पूर्वाधार र सडक विकास<br>• तुइन मुक्त नेपाल अभियान<br>• राष्ट्रिय गौरवका आयोजना अघि बढाउने साहस<br>• विद्युतीय उत्पादन, रेल, जलस्रोत र डिजिटल नेपालतर्फ ठोस कदम<br>• राष्ट्रिय स्वाभिमानमा सम्झौता नगर्ने दृढता<br><br>यी कामले एमालेलाई एउटा नारा मात्र होइन—<br>निर्णायक राष्ट्रिय शक्ति को रुपमा उभ्याइरहेको छ।<br><br>आज प्रश्न उठ्छ—<br>देश जलाउनेहरू किन अझै स्वतन्त्र?<br>देश बनाउनेहरू किन सधैँ निशानामा?<br><br>उत्तर सरल छ :<br>राष्ट्रिय शक्तिलाई लक्ष्य बनाउनेहरू बाहिर–भित्र दुवै खाले छन्।<br>तर जनताले मनमा राखेको दिशा स्पष्ट छ—<br>विकास, स्थिरता, स्वाभिमान।<br><br>त्यही भएर —<br>समृद्ध नेपाल, सुखी नेपाली<br>अब केवल नारा होइन,<br>नयाँ पुस्तादेखि पुराना पुस्तासम्मको साझा राष्ट्रिय आकांक्षा हो।<br><br>-नेकपा एमाले जिन्दावाद ।।",positive,comment
एक्लै प्रचार अनि एक्लै भासण लास्ट मा हजारौं मतमतान्तरको परिणाम ले बिजयी कस्तो अचम्म    संसारकै history बन्यो 😯😯😯😯😢❣️🙏,positive,comment
MCC को दलाल हुनुपनि राजनिति हो !,negative,comment
"कुनै पनि दामी ,नामी पोसाक ले सान्दार मात्र देखाउने ! बिकास र हितको लागि त सादा जीवन र उच्च बिचार ले काफी छ!!सधै सम्मान छ मेयर ज्युलाई🇳🇵🙏!",positive,comment
म ६० बरसको लाई त तिमरा कुरा पतयाउदिन भने अहिलेको  generation ले के पतयाउ छ त?,negative,comment
प्रचण्ड लाई कसैले राम्रो wow भनेको खै देख्दिन त?😊,negative,comment
Waiting 🎉🎉,neutral,comment
येकदम सहि जय बालेन हत्यारा दलालचाेर सग तिम्ले बहस गर्न सुहाउँदैन,positive,comment
त मुला को गोही को आँशु<br> जनताको तलाई १% पनि माया भको भए आज यो अवस्था आउने नै थिएन। <br>आतंककारी होस तँ ।,negative,comment
"Nepal aamako yek kusal karmath ,lagansil, sachai sahasi Nepal aamale ballaa Xora payeko xa, sayad yugle mageko xa , sabailai mahasus hunuparxa.",positive,comment
"बालेन जि को बिचार सारै राम्रो,काम पनि यस्तै राम्रो भए सुनमा सुगन्ध हुन्थ्यो  Best of luck.",positive,comment
"देश जनता र सहिदहरुको चाहाना पूरा गनाँलाई माहान गेटर नेपाल बनाउने नै यसमा पहल गनुपछ,🙏🌍️👍️🎎🇳🇵♥️🎉😢😢",positive,comment
Always NO. 1 KP OLi,positive,comment
केपी बालाई black power ले बहकाइ रहेको छ,negative,comment
"बिपी को चेला मानेकै हो तर देउबा को तलुवा चाटेको हाम्ले नदेखेको होइन, पोलिश नगर भाई अब",negative,comment
बालेनले जे गरे ठिक गरे 👍️👌🙏जय बालेन 🙏🙏🔔🔔🇳🇵🇳🇵,positive,comment
Prachanda ❤,positive,comment
आख़िर अहिलेसम्म पनि संघर्षमा खटिरहनू भएको छ हुने बिरुवाको चिल्लो पात त्यसकारण होला धरान हरियालीले भरीदै👍,positive,comment
राजनीति सहज कहिले हुन्छत ? छेपारे माननीय ज्यु,negative,comment
Alupadey mcc🐐🐐🐐🦙🦙🦙🐐🦙🐐parman khoi,negative,comment
यो बक्मफुसेको कुरा के सुन्नु😅😅,negative,comment
the whole wotld will get fascinated by his story if a dochmentary is made upon him..,positive,comment
Vasan matra garera chaldena😊😅,negative,comment
"हाम्रो देश मा परिवर्तनकाे घण्टी बजिसक्यो.. अब परिवर्तन हाम्रै पाला मा सम्भव: छ ।🇳🇵🇳🇵🇳🇵 #RastriyaSwatantraParty 
जसरी Harka Sampang लाई धरान को जनता ले सत्ता मा पुराए.. अब RABI LAMICHHANE अर्थात ( राष्ट्रिय स्वतन्त्र पार्टी ) लाई पनि जनता ले  राष्ट्र को सत्ता मा पुर्याउँछन् भन्ने ठूलो आशा छ ❤️❤️❤️🔔🔔🔔🙏",positive,comment
Sir  तपाइँको लागि यो केहि छौन।‌ सर ❤,positive,comment
"Goosebumps!!  आशाको किरण । Let us together make this beautiful country a dream nation, a civilised nation!!",positive,comment
"Imandar,,Satya nai Harka ji ko sakti,,,❤❤❤",positive,comment
jati duman tate agadi❤❤,positive,comment
पहिलो पटक vanera hola bt. भ्रष्टाचारी हरु बारे केही एक सब्द बोल्न  हार्क साम्पाङ्ग,negative,comment
Zen z आन्दोलन क्यू हुआ ? किसने मारा ? जनताको सब पता है । बलेन शाहने ठीक किया  है ।,positive,comment
"🗣️ K. P. Sharma Oli का “lying tricks” (छोटोमा)
	•	अर्ध–सत्य बोल्ने – तथ्यको केही भाग मात्र प्रस्तुत गरेर आफ्नो पक्ष बलियो देखाउने।
	•	विषय मोड्ने (Diversion) – कठिन प्रश्न आउँदा अर्कै मुद्दातर्फ ध्यान सार्ने।
	•	राष्ट्रवाद प्रयोग गर्ने – आलोचनाबाट जोगिन भावनात्मक/राष्ट्रवादी भाषा प्रयोग गर्ने।
	•	दोष अरूमाथि सार्ने – असफलताको जिम्मा विपक्ष वा अन्य पक्षलाई दिने।
	 vote Balen",negative,comment
नेपाल को संसद भवन भनेको दुखेसो पोख्ने ठाउँ र लुटेर खाने को आश्रम हो,negative,comment
सेरे ओली भन्दा तिमी हजार हुना खत्तम किन की उनीहरू सङ्ग ठुला ठुला पाटी छन तिमी एक्लै भै सकेउ तिमी एक्लिएको कल्ले बुझिदिने बजे !,negative,comment
"केपि ओलि सपना देख्ने र त्यसलाइ मुर्तता दिनसक्ने भिजनरी नेता त थिए तर देशलाइ सुसासन दिने भन्दा जसरी पनि सत्तामा टासिइरहने ३ दलिय मौसमी गठबन्धनले भ्रस्टाचार, बेतिथि र सुचनाको दुरुपयोग दुरुत्साहन को कारण किशोरहरुको आन्दोलनमा अर्को शक्ति हाबि भएर आयो तर पनि देशले स्थायी राजनितिक परिवर्तन खोजेको छ्।",neutral,comment
नेपालको सुनौलो भबिस्य लागि असागरियका दुई खम्बा !! i am so proud both of u ❤❤,positive,comment
""" Arise youngsters-d youth of our paradise
Upon thy shoulder d bounden duty lies
The nation's a shambles n all hell breaks loose
Thy presence is a must to settle d ongoing disputes.""
Hats off to Rabi L for your indomitable guts n patriotic fervor -U're truly a protagonist of change.",positive,comment
muji hatyara hos mahesh bansnet jasta balatkari ko snangarchays ho pu lic  m aayer delha randi ko baan,negative,comment
Jaya balen superb be strong 💪💪,positive,comment
हामिले धेरै सोचाइको कुरा आम्दोल्न बदी छ हजुरको interview आउँछ म सधैं हेर्छु सब view plan हजुरको नि intrevew अनुसार negagative देख्छु,negative,comment
केपी बा I love yo धेरै राम्रो लाग्यो यो अन्तरवार्ता,positive,comment
Wow दामी ❤❤❤👏👏👏congratulations ❤❤👏🎈🎈🎈🎈🎈,positive,comment
parchand RSP ko sadyantra inquri hunu parxa.,negative,comment
३६ बर्षमा पहिलो पटक उच्च नेता बाट यति मिठो speech सुन्न पाईयो आहा ।।,positive,comment
Yo msg kahile marxa 🤔,negative,comment
रविका झाेले  जस्ताे बाेलेर के<br>सेाधे काे येा धमाला ले,negative,comment
"यदि नेपाल नभएको भए वा इस्लाम भएको त मुहम्मद ओली हुन्थेस, तलाई कोरा हानेर, वा घाँटी काटेर मारिएको हुन्थ्यो (हलाल)। झापामा त ले आफ्नो जग्गाधनी र ती ७८ जना बच्चाहरूलाई कसरी हत्या गरेको थिस? नेपालमा कुनै पनि ब्राह्मण मारिएन त्यसैले त बचाइएको छ र कुकुर जस्तै हिँडिरहेको छस? <br>पृथ्वीपथले यो देश बचाए, बचत गरियो आफ्नो पुर्खाको बाटो, पहिचानलाई माया गर्ने मानिसहरू बचाइएको छ,? विदेशीहरू, विदेशीहरूको कठपुतलीहरू, ईसाईहरू, मुस्लिमहरू, वामपन्थी/कम्युनिस्ट जे सुकै झुटा घृणा प्रचार, अफवाहहरू, घृणा कीर्तिपुरेको नाक काट्ने, राई, लिम्बूको हत्या गर्ने, हुम्ला, जुम्लाका महिलाहरूलाई बेच्ने, पर्वतका रानीहरू, २२,२४ राज्यहरू हराएका राजा रानीहरू ,छोरीहरूलाई बलात्कार गर्ने, सबै नक्कली घृणा हुन्, घृणा दासहरू जे सुकै भनून्, फस्टाउन, फहेलाउन उनी किराँत, गोपाल, लिच्छवि, खस, मैथिली युग पछिको आधुनिक नेपाल एकीकरणकर्ता हो? यो उत्तम हो किनभने यो पहिलो आधुनिक इतिहासको मानवीय सिद्धान्त हो, युरोपले पनि त्यो उत्कृष्ट सिद्धान्त विकास गरेको थिएन?<br><br>किन सबैले एकै समयमा लुकाउँछन्, नेपालको दक्षिण, उत्तर-पूर्व, दक्षिण-पश्चिम बौद्ध, हिन्दू, प्रकृतिपूजकहरूलाई के भइरहेको थियो, मुस्लिम, बेलायती, युरोपेलीहरूले आसम, नागाल्याण्ड, कलकत्ता, बिहार, मुम्बई, हैदराबाद, महाराष्ट्र, पञ्जाब, कश्मीर, लाहोर, अफगानिस्तान, तिब्बत, चिनियाँ प्रान्तमा चिनियाँ साम्राज्यहरूले के गरिरहेका थिए सबै लुकाउँछन्, युरोप, अमेरिका, अष्ट्रेलिया भित्र पनि के भइरहेको थियो? शत्रुको गतिविधि कसरी सुक्षमा हिसाब देख्छ र नेपाल र नेपालीलाई एकताबद्ध गर्ने आवश्यकतालाई,महत्वहीनता कसरी कार्यान्वयन गर्छ नेपाली जनताको लोप हुने समय कहिले हुनेछ,तब उनीहरूले बुझ्न सक्छन्?",negative,comment
मानव मारेर जनतन तर्सायर सत्तामै बसिरहन सकिन्छ भन्ने निचसाेच भयका पात्र वली 🇳🇵,negative,comment
Prime minister of Nepal 🫂❤❤,positive,comment
यहि आतंककारी काे हात हुन सक्छ । सत्तामा भाेक लागेकाे छ !!यिनी केपि र प्रचण्ड यसमेनलाई😡😡🇳🇵,negative,comment
"प्रिय काठमाडौं बासीहरु अब त आँखा खोल्नुहोस्। ५ वर्ष अगाडि विद्या पासा लाई भोट दिएर जुन गल्ति गर्नुभयो अब त्यो गल्ति नदोहोयार्नु होला बिन्ती छ🙏🙏 काठमाडौं का सबै युवाहरु लाई आग्रह , तपाईंले आफ्नो परिवार को सबै भोट बालेन् शाह लाई ल्याउने अठोट गर्नुहोस्। नबुझेका बा आमा हजुरबा आमालाई बुझाउने जिम्मा तपाईंको। मासु भात जुन पार्टी को खाए पनि भोट चाई बालेन शाह लाई नै है त।
५ वर्ष पछि बल्ल यस्तो मौका आएको छ ,यो मौका नगुमाउनु होला बिन्ती छ।
#voteforbalen
#balenformayor",positive,comment
Damalajiko parsnako jawap Kai mukma aaudaina budyskalma jyljanu parxavanyr honi jyl lagaunu ra jylbasnu parakxa dhxa kukurlai aani jawip didaina,negative,comment
Jay mato Jay harka sir,positive,comment
Kp oli budo vayo yesko dimag khuskiyo kidni ferne bela vayo,negative,comment
Natak ta khatara Garxa yo jyas le sala hatyara,negative,comment
"🇳🇵🙏Genz आन्दोलन र सुनसरी घटना एउटै हो भन्ने ,एउटै देख्नेको चै मानसिक स्थीतीको check गराए हुन्छ।",positive,comment
"""हामीहरूले यो यो  काम गर्छौ होइन कि 
हामीहरू यसरी यसरी यो काम गर्छौ ""- बलेन 😊❤",positive,comment
अत्यन्तै intresting  रसिलाे प्रस्तुति👌👌,positive,comment
एउता बुधी लाई ब्याउनी बनाउन नसक्नी ले देश बनाउन सक्छ,negative,comment
"Debate गर्न सक्ने , तर्कहरु दिन सक्ने त ह्याउ पनि हुनु पर्यो नि , धोक्रो सुकाइ सुकाइ पाएको भोट एउटा अन्तर्वार्ताले सोत्तर पार्छ भन्ने थाह भएरै भागि रहेको हो |",negative,comment
सहि हो प्रचण्ड जिन्दबाद हो।,positive,comment
यदि नेपाल मा  राम्रो सरकार  आउने हो भने  यी बरिस्ठ  ज्यु ले जेल मा जानू पर्ने हुन्छ,negative,comment
kati hasnu,negative,comment
17000 वाला,negative,comment
"राजेन्द्र बनियाँ सर, अब श्रम संस्कृति पार्टीकी पिन्सा राईलाई पनि अन्तर्वार्तामा आमन्त्रण गर्नुपर्छ।",positive,comment
Unpaad ko udharan,negative,comment
कुन गुन्डा नाइके हो सला झोले लाई झुण्डाउनु पर्छ l जय बालेन शाह🐅 जय घन्टी🔔🔔🔔💪💪💪🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵,positive,comment
"धरान नेपाल को अरु ठाउ भन्दा बेग्लै पहिचान छ। धरनेहरु चेतनामा आर्थिक मा र शिक्षा मा अगाडि छ्न। साचै नै धरान राम्रो मेयर पायको छ। अब त जनता जागौ देश को मुहार फेरौ। गालि गलौच गर्ने राज्नितिलाइ माथि नराखौ आवज बोल्ने बोक्ने समस्य पहिचान समधान गर्ने र vision भयको र vision अनुसार अघि बड्न सक्ने लाइ मात्र साथ दिउ।
मेरो देश नेपालको सधा जय होस।",positive,comment
ब्यापार हो राजनीति,neutral,comment
नेपाल ले कानेर भारत को जमिन मिचेको छ माननीय पर्धान मान्त्री जिउ ले भने जस्तो देखाउनु परो,negative,comment
00:08 23 ra 24 ma niriha timaru lai jantale chahera oey jyaan mara .. janta bhaneko maalik ho .. timaru nokarharulai jawaf dina jaruri chaina .. dherr sodhis tamarule bhane feri laat khachau timaru sabaile ..,negative,comment
I love you harka sampang 🇳🇵💪,positive,comment
जय बालेन जिदबाद रबि 🎉🎉🎉❤❤❤,positive,comment
Congratulations 👏👏 and Best of luck PM Balen Daju and Rabi Daju and sabai RSP family haru jay Bir gorkhali haru jay ghanti ❤❤❤❤,positive,comment
जय रवि शर❤❤❤❤,positive,comment
यो मान्छे मलाई सार्है मनपर्छ,positive,comment
very intresting lagyo programme...,positive,comment
अब समाएर जकाउछ भनेर चिल्लो घस्दै छ छेपारो ले,negative,comment
"सबै प्राया हर्क साम्पाङ्गलाइ जाती बादी र पास्टरको उपनाम दिन्छन। तर बास्ताबमै नेता भनेको उस्को मन, बिचार , निष्ठा छर्ल्ङ्ग भएको नेता भनेको त्यो हर्क साम्पाङ्गमा हो।❤",positive,comment
Prachandale yesto mitho bolnuma pni kehi sadyantra hunasakx bhanne malai matrai laagne hoki arulai pni hola?????,negative,comment
कतिको हिम्मत छ हेरु एकलै लद्छ कि गठ बन्धन  मा जान्छ आगोमा सलाइ कोर्ने  आफै,negative,comment
Yasle Aafaile racheko षडयंत्र ho tes karan yallai sabai kura thaha xa balen sarkar yallai jailkochnu sabai thik hunxa,negative,comment
"यदि याे भन्दा अघिल्लाे महाअधिबेसनमा गगन सभापति भएकाे भए खराने ग्याङ्गकाे उदय हुने थिएन, सहकारी चाेरहरु,जेल ताेड्ने डाकाहरु, नेपालले सिमा मिच्याे भन्ने देश देह्रीहरु माटाे मिल्थे हाेला, भाटभटेनि लुटेर आगाे लगाउने हरु, टिओबिहरु नाग्ङ्गाे खुकुरि लिएर मेराे देश चाहियाे भन्ने आँट आउने थिएन, प्रचण्ड र ओली काे दास बन्ने देउबाका आदेश ले कंग्रेसलाई पतनकाे दिसामा लग्याे, मित्र राष्ट्र चिन बिरुद्ध यति धेरै बिेष बमन गरे घण्टेहरु । यदि चिनलाई जिस्काईयाे भने यिनिहरु पानि भन्न पनि पाउने छैनन् ।यी TOB ग्याङ्गका पानि बाँड्ने नाउमा सत्ताकाे धुरिमा पुग्ने थिएनन् । कंग्रेसले केहि गल्ति गरेकै हाे, कहिले ओलि पथ, कहिने प्रचण्ड पथ । देश द्राेहिहरु खरानिमा खित्का छाेडि हाँसि रहेछन । भ्रष्ट्रचारी , नेपाे बेबिहरु संचार माध्यामहरु भाटभटेनि, गगनकै घर जाने बाटाेमा गाडिले बाँटाे छेकेर के गर्न चाँहेकाे , यस्काे मुल्य तिर्ने छन । भाडाका टट्टु मुर्दाबाद, सहकारी चाेरहरु मुर्दाबाद,ब्याक्ति गत सम्पति ,र अदालत, लगायत सबै सरकारी सम्पतिमा लगाईएकाे आगाे र खरानीकाे मुल्य ब्याज सहित मुल्य असुल हुनेछ एक दिन । जय नेपाल , जय बिपि, जय प्रजातन्त्र।।।।।",positive,comment
यिनिहरु कोहि गतिला छैन सबै mcc  र नागरिक्ता बिधेक को मतियारहरु हुन ।,negative,comment
बालेन जी को सोच अनुसार होस् भगवान् म प्रार्थना गर्छु । सबै युवाको सोच बालेन को जस्तो होस्  र हुनुपर्छ । धेरै आशिर्वाद छ बालेन बाबू ।,positive,comment
"RSP को पनि धागो बाहिर नै रहेछ???नत्र राजा ल्याउनुपर्ने, सिमा मिचेको सच्याउन पर्ने ।कतै नेपाली झुक्याउँदै त छैनन्???",negative,comment
Yakdam ramro socha bichar x hjr ko yo hjr ko socha bichar ma hare nepali daju bhaini le sath dinuhunx rabi dai good job dai🙏🙏🙏👏👏👏👏👏🤝🤝🤝,positive,comment
सहि हो ।कम्रेट प्रचण्ड  देशको एक महान लिडर र मेरुदण्ड हुनुहुन्छ। यदि उहाँ हुनुहुने थिएन  भने अझै सम्म दलितहरुलाई दुव्र्यवहार भहिरहेको हुने थियो।जय देश जय प्रचण्ड पथ 🙏🙏🙏🙏🙏🙏🙏🙏🙏,positive,comment
भरस्टचारि चुपलाग,negative,comment
"कति लडने मात्र कुरा गर्ने हो? देशलाई विकास गरम नत्र छिटई यो देश त रहला तर देशमा युवा नरहला जस्तो हुन सक्छ।
असान्ति मात्र फलाउने के हो यस्तो। सबै जान जाग्म, आफूलाई सछम बनाउम, कोई hero आउछ र देश बनाउछ तो भर्ममा न बसम।",neutral,comment
Ani Facebook kun सरकारले हटाउन lako,negative,comment
मेयर हर्क सर को हरेक शब्दमा सत्य छ अनि motivation speech लाग्छ..,positive,comment
याे जाेडि लाई कसैकाे नजर न लागाेस🎉🎉🎉🎉🎉🎉🎉,positive,comment
"कोइछ माइकललाल???
कुन नेताको हिम्मत छ mainstream को सम्पूर्ण मीडिया: कान्तिपुर, अन्नपुर्ण, नया पत्रिका, online khabar, सेतोपाटी लगायत....राजाबादी, रबिन्द्र मिश्र, ऋषि धमला माथिको तितोसत्यकुरा खुलेआम प्रमाण सहित ओकाल्ने हिम्मत, चाहे आक्रोशमानै सहि??? यसको मतलब उनलाई केहि कुराको लोभ छैन, कोहीसंग setting गर्नुछैन भन्ने प्रस्टहुञ्छ! 

पार्टीको तलुवा चाट्नेहरु नआवो अब अनेक भन्दै.... रबिले गृहमन्त्रि भएर नियम कानुनमा देश चलाउदा, सिस्टम बसाल्दा,तिमीहरुलेनी केहि सुख पाउथेउ,
खाऊ अब तेही.....

देशले पाएको सच्चा नेता, सच्चा योद्धा..... Salute रबि लामिछाने",positive,comment
jng lai xodeuna ta ye buda kina lov?? aat  xa??,negative,comment
"Hindu rastra kayam garera kota system hataunus sir
Nepal Hindu ko ho 
Jastai Pakistan ma Islam, bahek kei chhaina
Saudi ma ,Qatar ma Ra Aru Islam country ko rule thaha nai chha ra usa, paschim muluk haru ko pani aafnai Christian religion chha
Sabai le aa-aafno desh ma aafno paramparalai herchhan
Tara Nepal India jasto muluk le loktantra lyaera ra kota system ra sa sabai dharma Lai Saman byawahar garekole ra dharma pariwartan garaune ishai ra Islam ka agent haru Lai khula chhut dieko le hamro desh barbad hudaichha
Raja ko Pala Christmas ra IED bakrid haru ma sarkari chhutti didaina thiyo Tara pani manaerq basekai thie 
Tara netq haru le ra maowadi le aafno vote bank ko lagi hamro desh Nepal Lai ^sajha rastra"" banaera hak dilaera Bolna Lai jun bato banaidie tyo Swarthi sarkari le Garda ho
Malai yaad chha 2060 ma Mero slc ko barsa ma IEd ma chhutti hudaina thiyo Tara ahile Bada maharaja Dhiraj prithvi Narayan Shahdev le banaeko Nepal ma chhut diera yasti sthiti srijana vaeko ho",negative,comment
😢😢😢aasu aayo,negative,comment
बिपि को बिचार बिपि सगै मरेर गयो !,negative,comment
Hats off gagan❤❤,positive,comment
"wow .एस्तो पो उम्मेदवार 
कति सालिनता छ ; न कुनै आक्रोश , न उत्तेजना ,न कसैप्रती कटाक्ष ,गालिगलोज ,टुक्का उखान ।
बिकल्पका खाका,समस्याका कारण अनि स्रोतको स्पस्ट व्याख्या सहित ।
काठमाडौ बासिले यिनलाइ मत दिन आनाकानी गरे भने आत्मघाती सरह हो ।
एसपाली यिनलाइ जिताउनुपर्छ",positive,comment
Gagan uba futre star pm,positive,comment
गनगन काजी को के छ 😂 यता mutton पाक्दै छ 😂😅,negative,comment
"यो सबै हुनु मा सुरु मा एमाले , माउवादी अनि हर्क साम्पाङ हो । एनी हरु लाई कारबाही हुनु पर्छ   यस्ता ले नै देश बिगार्दै छ। जब सम्म  काम हुँदैन तब सम्म तलब भत्ता बन्द गर्नु पर्छ । हामी जनता को कर  एसरी  खान मिल्दैन । यस्तै हो भने हामी फेरि सडक मा आउन बाध्य हुन्छ  याद रहोस्",negative,comment
"T O B को जकेट लगाएर हाम्रा  सान बालबालिकालाई  विद्यालयको पोसाकमा 
निसेधित क्षेत्रमा होमेर अबोध  बालबालिकालाई मराउने सुजन  गुरुङ जस्तो पात्रलाई  भाबुक  दयालु भन्नू हास्यास्पद  होइन र !?????????",negative,comment
Balen sanga bahas garna ramrari padheko hunu parcha <br>Aaukat chaina kp muji ko,negative,comment
कति सम्म को मन हो यति हुदानी छुपुक्क घरमा बसे हुन्छ त 7 पुस्तालाइ खाने सम्मति जम्म भैसक्यो होला तिमि बाट हुदैन भने,negative,comment
"Maobadi ko nam ma luteo ,ab male ko Nam bat lutnu paro ni Janta sabai bheda , election ma per vote 1000 Rupees and masu Bhat ma bikne.butro desh banla..?",negative,comment
